id,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped,FIELD69,FIELD70,FIELD71,FIELD72,FIELD73
109,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,"Zelena magistrala, odvojak ulice Perjavica...","Zelena magistrala, odvojak ulice Perjavica, Podsusedska aleja, ulica 4 na podrucju nekadasnje tvornice cementa u Podsusedu, autobusno okretiste u Vrapcanskoj ulici",,"170,000 kn",Zelena magistrala,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"170,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt PODSUSED - VRAPCE,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Autobusno stajaliste u ulici Stefanovec...,"Autobusno stajaliste u ulici Stefanovec, autobusno stajaliste u Ulica Vida Rocica, ulica Gracani - nogostup kod OS Gracani, Ulica Vida Rocica - nogostup",,"95,000 kn",Ulica Stefanovec,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"95,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt PODSLJEME,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Odvojak Gracanske ceste,,,"50,000 kn",Gracanska cesta,,,45.851323,15.976497,,,,,,,,,,,,,,,,,,,,,,1,"50,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt PODSLJEME,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Ulica Gracani - nogostup kod OS Gracani,,,"600,000 kn",Gracani 4a,,,45.858844,15.973489,,,,,,,,,,,,,,,,,,,,,,1,"600,000.00",Tehnicka dokumentacija i gradenje,"TD,G",,,,Gradska cetvrt PODSLJEME,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,"Autobusno stajaliste u Durdekovcu, Stubicka ulica...","Autobusno stajaliste u Durdekovcu, Stubicka ulica, Velebitska (Streljenceva) ulica, prometnica od sjevernog dijela buduceg cvora ""Otok Svibovski"" do naselja Dumovec-jug, ulica Vretenec, Novacica, Tupekova, Horvatova, raskrizje Soblinecka - Prepustovecka - Sasinovecka, Blaguska ulica, Dobrodolska, odvojak Radnicke ulice, Ulica Ivana Sandelica, autobusna stajalista na Glavnoj cesti u naselju Prekvrsje, Ulica 4, pjesacka staza Vugrovec gornji - Vugrovec donji
 Pakracka ulica, Ivana Grande, Okretiste autobusa u Dugoselskoj,
 raskrizje Zagrebacka - Sopnicka -
Jaglaca, Put Dobrise Cesarica, Miroslava Kraljevica, Ivana Gundulica , Miroslava Krleze, Kvarnerska, Zagorska, Bartola Kasica, Bilogorska, Franjceviceva, Ulica 6, Vurnovecka, Varazdinska, Vladimira Ruzdjaka, Vinogorska, Dragutina Domjanica u Adamovcu, Kirinova ulica , Odvojak Prelceve, Trakoscanska ulica u Sesvetama – nogostup, Ulica Ivana Sandelica, Stjepana Mikusa, raskrizje Zagrebacka-Anke Krizmanic-Badelov brijeg, odvojci Radnicke, autobusno stajaliste u Vugroveckoj ulici, Ulica Ciklama",,"620,000 kn",Durdekovac,,,45.877928,16.117891,,,,,,,,,,,,,,,,,,,,,,1,"620,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Ulica Klanjec - uporni zid,,,"430,000 kn",Ulica Klanjec,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"430,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Odvojak Ivana Pudaka,,,"150,000 kn",Odvojak Ivana Pudaka,,,45.853782,16.114219,,,,,,,,,,,,,,,,,,,,,,1,"150,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Cvor Strojarska - autocesta A3,,,"500,000 kn",Strojarska,,,45.802747,15.990558,,,,,,,,,,,,,,,,,,,,,,1,"500,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Ulica Ote Habeka - nogostup,,,"300,000 kn",Ulica Ote Habeka,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"300,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Autobusna stajalista na Sesvetskoj,,,"400,000 kn",Sesvetska ulica,,,45.814715,16.01209,,,,,,,,,,,,,,,,,,,,,,1,"400,000.00",Gradenje,G,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
