id,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped,FIELD69,FIELD70,FIELD71,FIELD72,FIELD73
139,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Izrada procjena vrijednosti nekretnina za potrebe rjesavanja imovinsko- pravnih odnosa,,,"50,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"50,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Geoloske i geotehnicke prospekcije za potrebe izrade projektno-tehnicke dokumentacije za izgradnju i rekonstrukciju cesta,,,"162,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"162,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Uspostava skladista vrijednog gradevinskog materijala,,,"22,500 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"22,500.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Krajobrazno uredenje zelenih povrsina u koridoru prometnica,,,"130,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"130,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Intervencije u prostoru - povezivanje izgradenih cjelina - naselja,,,"1,500,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,500,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Privremena regulacija prometa,,,"200,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"200,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Premjestanje i zastita EE instalacija za potrebe izgradnje cesta i cestovnih objekata,,,"1,100,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,100,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Premjestanje i zastita plinovodnih instalacija za potrebe izgradnje cesta i cestovnih objekata,,,"100,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"100,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Premjestanje i zastita instalacija vodovoda i kanalizacije za potrebe izgradnje cesta i cestovnih objekata,,,"100,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"100,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Izrada procjena vrijednosti nekretnina za potrebe rjesavanja imovinsko- pravnih odnosa,,,"400,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"400,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Krajobrazno uredenje zelenih povrsina u koridoru prometnica,,,"1,150,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,150,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Uspostava skladista vrijednog gradevinskog materijala,,,"22,500 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"22,500.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,"Slaganje, evidentiranje i prijevoz vrijednog gradevinskog materijala",,,"250,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"250,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Intervencije u prostoru - povezivanje izgradenih cjelina - naselja,,,"5,000,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"5,000,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Izrada projektno tehnicke dokumentacije za izgradnju autobusnih stajalista,,,"350,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"350,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Nove obveze,Privremena regulacija prometa,,,"600,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"600,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Tuskanova-Vrbaniceva,,,"764,560 kn",,Tuskanova,Vrbaniceva,45.811044,15.997651,,,,,,,,,,,,,,,,,,,,,,1,"764,560.00",,,,,,Gradska cetvrt DONJI GRAD,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Produzetak ulice Zeleni dol,,,"3,050 kn",Ulica Zeleni dol,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"3,050.00",,,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Izgradnja prometnica u naselju Kruge,,,"7,320 kn",Kruge,,,45.817873,15.975996,,,,,,,,,,,,,,,,,,,,,,1,"7,320.00",,,,,,Gradska cetvrt TRNJE,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Trnjanski nasip,,,"2,652 kn",Trnjanski nasip,,,45.806349,15.977984,,,,,,,,,,,,,,,,,,,,,,1,"2,651.71",,,,,,Gradska cetvrt TRNJE,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Spoj na Radnicku cestu,,,"423,579 kn",Radnicka cesta,,,45.790226,16.031104,,,,,,,,,,,,,,,,,,,,,,1,"423,578.80",,,,,,Gradska cetvrt TRNJE,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak ulice Gorice,,,"6,927 kn",Ulica Gorice,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"6,927.13",,,,,,Gradska cetvrt MAKSIMIR,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Produzetak ulice VII. Bukovacki ogranak,,,"46,740 kn",Ulica VII. Bukovacki ogranak,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"46,740.00",,,,,,Gradska cetvrt MAKSIMIR,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Gorice i ulica Korito,,,"5,997 kn",,Ulica Gorice,Ulica Korito,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"5,996.52",,,,,,Gradska cetvrt MAKSIMIR,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak Bukovacke ceste,,,"3,265 kn",Bukovacka cesta,,,45.867792,16.07668,,,,,,,,,,,,,,,,,,,,,,1,"3,264.51",,,,,,Gradska cetvrt MAKSIMIR,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica 7,,,"36,750 kn",Ulica 7,,,45.811044,15.997651,,,,,,,,,,,,,,,,,,,,,,1,"36,750.00",,,,,,Gradska cetvrt PESCENICA - ZITNJAK,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Strigina ulica,,,"1,938 kn",Strigina ulica,,,45.814555,15.973066,,,,,,,,,,,,,,,,,,,,,,1,"1,938.02",,,,,,Gradska cetvrt PESCENICA - ZITNJAK,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Kompleks punionice Coca-cola - prometnice,,,"729,049 kn",Milana Sachsa 1,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"729,049.29",,,,,,Gradska cetvrt PESCENICA - ZITNJAK,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,"Ulica oznake ""1"" UPU Heinzelova-Vukovarska",,,"1,465,780 kn",,Heinzelova,Vukovarska,45.805645,16.007429,,,,,,,,,,,,,,,,,,,,,,1,"1,465,779.59",,,,,,Gradska cetvrt PESCENICA - ZITNJAK,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak Jakusevecke ulice,,,"3,461 kn",Jakusevecka ulica,,,45.808749,15.959763,,,,,,,,,,,,,,,,,,,,,,1,"3,461.49",,,,,,Gradska cetvrt NOVI ZAGREB - ISTOK,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Katicev prilaz,,,"1,827 kn",Katicev prilaz,,,45.764747,15.922673,,,,,,,,,,,,,,,,,,,,,,1,"1,826.90",,,,,,Gradska cetvrt NOVI ZAGREB - ISTOK,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Zaprudski otok,,,"14,459 kn",Zaprudski otok,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"14,459.00",,,,,,Gradska cetvrt NOVI ZAGREB - ISTOK,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Pristupna prometnica Domu za starije osobe,,,"2,196 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"2,196.00",,,,,,Gradska cetvrt NOVI ZAGREB - ISTOK,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Jaruscica,,,"60,107 kn",Ulica Jaruscica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"60,106.54",,,,,,Gradska cetvrt NOVI ZAGREB - ZAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Lukoranski odvojak,,,"4,433 kn",Lukoranski odvojak,,,45.815017,15.997478,,,,,,,,,,,,,,,,,,,,,,1,"4,432.63",,,,,,Gradska cetvrt NOVI ZAGREB - ZAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Horvatova ulica,,,"448,660 kn",Horvatova ulica,,,45.785678,15.964291,,,,,,,,,,,,,,,,,,,,,,1,"448,659.64",,,,,,Gradska cetvrt NOVI ZAGREB - ZAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Vatikanska ulica - I. etapa,,,"2,067,279 kn",Vatikanska ulica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"2,067,278.86",,,,,,Gradska cetvrt NOVI ZAGREB - ZAPAD,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,"Vrbje, Petrovaradinska",,,"3,501,943 kn",Petrovaradinska,,,45.816883,15.980179,,,,,,,,,,,,,,,,,,,,,,1,"3,501,942.50",,,,,,Gradska cetvrt TRESNJEVKA - JUG,,,,,,,,,,,,,,,,,,,17.12.2015,,,,,,,
177,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Domasinecka ulica,,,"609,273 kn",Domasinecka ulica,,,45.799049,15.940955,,,,,,,,,,,,,,,,,,,,,,1,"609,272.64",,,,,,Gradska cetvrt TRESNJEVKA - JUG,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Prevoj,,,"3,758 kn",Ulica Prevoj,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"3,757.60",,,,,,Gradska cetvrt CRNOMEREC,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Cankarova ulica,,,"2,196 kn",Cankarova ulica,,,45.749905,15.993914,,,,,,,,,,,,,,,,,,,,,,1,"2,196.00",,,,,,Gradska cetvrt CRNOMEREC,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Vidovcica I. - odvojak,,,"22,057 kn",Vidovcica I.,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"22,057.00",,,,,,Gradska cetvrt CRNOMEREC,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak ulice Dunjevac,,,"267,340 kn",Ulica Dunjevac,,,45.79305,15.993769,,,,,,,,,,,,,,,,,,,,,,1,"267,340.18",,,,,,Gradska cetvrt CRNOMEREC,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Avenija Dubrava 116,,,"150,000 kn",Avenija Dubrava 116,,,45.80866,15.976272,,,,,,,,,,,,,,,,,,,,,,1,"150,000.00",,,,,,Gradska cetvrt GORNJA DUBRAVA,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Makarska ulica,,,"113,190 kn",Makarska ulica,,,45.815017,15.997478,,,,,,,,,,,,,,,,,,,,,,1,"113,190.00",,,,,,Gradska cetvrt GORNJA DUBRAVA,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Retkovec IV.-Dubrava,,,"26,840 kn",Ulica Retkovec IV.,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"26,840.00",,,,,,Gradska cetvrt DONJA DUBRAVA,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak Tusilovicke ulice,,,"6,100 kn",Tusilovicka ulica,,,45.797223,15.947497,,,,,,,,,,,,,,,,,,,,,,1,"6,100.00",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Vrbovljanski put,,,"1,248 kn",Vrbovljanski put,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"1,248.23",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Juzni dio Motajickog puta-naselje Oranice,,,"1,020 kn",Oranice,,,45.872356,16.161889,,,,,,,,,,,,,,,,,,,,,,1,"1,019.51",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Dio ulice Pavlenski put,,,"9,558 kn",Ulica Pavlenski put,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"9,558.23",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Vlade Gotovca,,,"1,255 kn",Ulica Vlade Gotovca,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"1,255.32",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Pavlenski put,,,"21,466 kn",Ulica Pavlenski put,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"21,466.13",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,"Produzetak ""Ulice A""",,,"1,538 kn",Ulice A,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"1,538.44",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Spojna ulica od ulice Vlade Gotovca do mosta Vrabecak,,,"3,688 kn",Ulica Vlade Gotovca,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"3,687.95",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak Medarske - Antuna Soljana,,,"1,830 kn",,Medarske,Antuna Soljana,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"1,830.00",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Servisna cesta uz Ljubljansku aveniju,,,"1,579,661 kn",Ljubljanska avenija,,,45.815017,15.997478,,,,,,,,,,,,,,,,,,,,,,1,"1,579,660.81",,,,,,Gradska cetvrt STENJEVEC,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,"Pristupna prometnica oznake ""2"" - Vrapce",,,"2,806 kn","Pristupna prometnica oznake ""2"" - ",,,45.815011,15.981919,,,,,,,,,,,,,,,,,,,,,,1,"2,806.00",,,,,,Gradska cetvrt PODSUSED - VRAPCE,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Vucak-Skorpikova,,,"5,150 kn",,Ulica Vucak,Skorpikova,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"5,149.62",,,,,,Gradska cetvrt PODSUSED - VRAPCE,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Vrapce,,,"8,540 kn",Vrapce,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"8,540.00",,,,,,Gradska cetvrt PODSUSED - VRAPCE,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Spoj na ulicu Male putine,,,"2,318 kn",Ulica Male putine,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"2,318.00",,,,,,Gradska cetvrt PODSUSED - VRAPCE,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Klenovscak,,,"4,477 kn",Ulica Klenovscak,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"4,477.32",,,,,,Gradska cetvrt PODSUSED - VRAPCE,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Sestinska cesta,,,"55,667 kn",Sestinska cesta,,,45.814555,15.973066,,,,,,,,,,,,,,,,,,,,,,1,"55,667.14",,,,,,Gradska cetvrt PODSLJEME,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak ulice Dedici,,,"3,788 kn",Ulica Dedici,,,45.811044,15.997651,,,,,,,,,,,,,,,,,,,,,,1,"3,787.81",,,,,,Gradska cetvrt PODSLJEME,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak ulice Gronje Prekrizje i rekonstrukcija dijela Svetojanske ulice,,,"4,521 kn",Ulica Gronje Prekrizje,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"4,521.26",,,,,,Gradska cetvrt PODSLJEME,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Dugoselska cesta,,,"18,544 kn",Dugoselska cesta,,,45.799049,15.940955,,,,,,,,,,,,,,,,,,,,,,1,"18,544.00",,,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak Krasnjanske ulice,,,"2,196 kn",Krasnjanska ulica,,,45.817873,15.975996,,,,,,,,,,,,,,,,,,,,,,1,"2,196.00",,,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Odvojak Kozarceve ulice,,,"24,541 kn",Kozarceva ulica,,,45.815011,15.981919,,,,,,,,,,,,,,,,,,,,,,1,"24,541.00",,,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Ulica Krste Hegedusica,,,"24,523 kn",Ulica Krste Hegedusica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"24,522.84",,,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,2016-PROGRAM,,Nerazvrstane ceste,Povrat po ugovorima o financiranju,Zona ciglana Sesvete,,,"18,942 kn",Sesvete,,,45.800623,15.943401,,,,,,,,,,,,,,,,,,,,,,1,"18,941.74",,,,,,Gradska cetvrt SESVETE,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,2016-PROGRAM,,Groblja i krematorij,Prenesene obveze iz prethodnog razdoblja,Privremena sanacija klizista na spoju novog dijela groblja Mirogoj i Gaja urni,,,"236,292 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"236,292.38",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,2016-PROGRAM,,Groblja i krematorij,Prenesene obveze iz prethodnog razdoblja,Izrada tehnicke dokumentacije za sanaciju klizista na groblju Mirogoj – polje 157 i polje 109,,,"150,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"150,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izgradnja ograde na groblju Mirogoj- Remetska cesta etapa I,,,"2,500,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"2,500,000.00",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izrada tehnicke dokumentacije za sanaciju cesta i kanalizacije na groblju Mirogoj,,,"100,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"100,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Sanacija cesta i kanalizacije na groblju Mirogoj,,,"1,250,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"1,250,000.00",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Uredenje novih grobnih poljana na groblju Gaj urni,,,"2,000,000 kn",Gaj urni,,,45.807148,16.160176,,,,,,,,,,,,,,,,,,,,,,1,"2,000,000.00",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,2016-PROGRAM,,Groblja i krematorij,Nove obveze,Izgradnja novog grobnog polja na Mirogoju kod vodotornja,,,"2,000,000 kn",Mirogoj,,,45.806242,15.91289,,,,,,,,,,,,,,,,,,,,,,1,"2,000,000.00",Gradenje,G,,,,Gradska cetvrt GORNJI GRAD - MEDVESCAK,Zona 1,,,,,,,,,,,,,,,,,,,,,,,,,
